TambonID,TambonTH,TambonEN,AmphoeID,AmphoeTH,AmphoeEN,ProvinceID,ProvinceTH,ProvinceEN,FormalRegi,F4Region,TMDRegion,MetroRegio,Units,UnitsTH,lat,lon
501903,ชมภู,Chomphu,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6998729646,99.0651782666
550203,หมอเมือง,Mo Mueang,5502,แม่จริม,Mae Charim,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6843827838,101.0053237251
501901,ยางเนิ้ง,Yang Noeng,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.7073230637,99.0363183265
501507,บ้านแหวน,Ban Waen,5015,หางดง,Hang Dong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.7008930497,98.9443241202
501214,น้ำบ่อหลวง,Nam Bo Luang,5012,สันป่าตอง,San Pa Tong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6738548926,98.8412447034
520509,บ้านหวด,Ban Huat,5205,งาว,Ngao,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6090075052,99.8882147517
550717,ทุ่งศรีทอง,Thung Si Thong,5507,เวียงสา,Wiang Sa,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6659013147,100.6552143199
501909,ดอนแก้ว,Don Kaeo,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6970966824,98.9966352104
550205,น้ำปาย,Nam Pai,5502,แม่จริม,Mae Charim,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6476498668,100.9559269165
550109,กองควาย,Kong Khwai,5501,เมืองน่าน,Mueang Nan,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6877198806,100.7533662363
501906,หนองแฝก,Nong Faek,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6906156595,99.0193583080
510702,ห้วยยาบ,Huai Yap,5107,บ้านธิ,Ban Thi,51,ลำพูน,Lamphun,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6726073566,99.1672775926
501501,หางดง,Hang Dong,5015,หางดง,Hang Dong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6914785409,98.9146050223
501506,สบแม่ข่า,Sop Mae Kha,5015,หางดง,Hang Dong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6808003399,98.9748628588
550705,นาเหลือง,Na Lueang,5507,เวียงสา,Wiang Sa,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6691728068,100.8361586432
501902,สารภี,Saraphi,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6807345333,99.0472299359
520605,เมืองมาย,Mueang Mai,5206,แจ้ห่ม,Chae Hom,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6295159586,99.6786633783
501505,ขุนคง,Khun Khong,5015,หางดง,Hang Dong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6732985331,98.9560008183
501502,หนองแก๋ว,Nong Kaeo,5015,หางดง,Hang Dong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6685562942,98.9349215322
501202,สันกลาง,San Klang,5012,สันป่าตอง,San Pa Tong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6591565308,98.8822638115
501905,ขัวมุง,Khua Mung,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6679716814,98.9832977336
550708,น้ำปั้ว,Nam Pua,5507,เวียงสา,Wiang Sa,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6393819795,100.7252169317
520602,บ้านสา,Ban Sa,5206,แจ้ห่ม,Chae Hom,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.5916520986,99.5611322449
501908,ท่ากว้าง,Tha Kwang,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6589883472,98.9983223290
510701,บ้านธิ,Ban Thi,5107,บ้านธิ,Ban Thi,51,ลำพูน,Lamphun,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6327611401,99.1547287026
580504,แม่โถ,Mae Tho,5805,แม่ลาน้อย,Mae La Noi,58,แม่ฮ่องสอน,Mae Hong Son,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6091335552,98.0318257621
520201,บ้านดง,Ban Dong,5202,แม่เมาะ,Mae Mo,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.4992438911,99.7604248493
550704,ตาลชุม,Tan Chum,5507,เวียงสา,Wiang Sa,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6372576584,100.7833540011
550715,จอมจันทร์,Chom Chan,5507,เวียงสา,Wiang Sa,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6378182736,100.8620382325
501503,หารแก้ว,Han Kaeo,5015,หางดง,Hang Dong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6502358833,98.9217050134
510104,หนองช้างคืน,Nong Chang Khuen,5101,เมืองลำพูน,Mueang Lamphun,51,ลำพูน,Lamphun,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6557584045,99.0128912465
510103,อุโมงค์,Umong,5101,เมืองลำพูน,Mueang Lamphun,51,ลำพูน,Lamphun,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6481803847,99.0419908946
521303,ทุ่งกว๋าว,Thung Kwao,5213,เมืองปาน,Mueang Pan,52,ลำปาง,Lampang,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.5963593970,99.4277194205
501206,บ้านแม,Ban Mae,5012,สันป่าตอง,San Pa Tong,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6317764883,98.8439930965
502201,บ้านกาด,Ban Kat,5022,แม่วาง,Mae Wang,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6233206347,98.7733161888
502305,แม่ทา,Mae Tha,5023,แม่ออน,Mae On,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.5973723439,99.2879515211
550710,ปงสนุก,Pong Sanuk,5507,เวียงสา,Wiang Sa,55,น่าน,Nan,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG15,ศูนย์ ปภ. เขต 15,18.6035614731,100.6459762032
501911,สันทราย,San Sai,5019,สารภี,Saraphi,50,เชียงใหม่,Chiang Mai,ภาคเหนือ,ภาคเหนือ,ภาคเหนือ,ต่างจังหวัด,RG10,ศูนย์ ปภ. เขต 10,18.6382272886,98.9686269735
