,name,juristicid,year,accountreceivable,accountpayable,totalnoncurrentliability,totalliability,totalcurrentliability,totalcurrentasset,totalasset,totalexpense,cashandcashequivalent,otherincome,totalrevenue,netprofitloss,pct_accountreceivable,pct_accountpayable,pct_totalnoncurrentliability,pct_totalliability,pct_totalcurrentliability,pct_totalcurrentasset,pct_totalasset,pct_totalexpense,pct_cashandcashequivalent,pct_otherincome,pct_totalrevenue,pct_netprofitloss
133,บมจ.ธนาคารทหารไทย จำกัด (มหาชน),107537000017,2015-12-31,552811500000,0,23702030000,762236000000,738534000000,809274100000,838233300000,36580250000,17289830000,2368779000,47851190000,9183818000,9.891696908783842,,-50.5716926431536,2.976003752461809,6.685237855235737,4.0885886162051355,3.5430142246786644,3.0997061481164545,5.246937064878154,-18.63528789445301,4.143683804569065,-2.7461828391052823
134,บมจ.ธนาคารทหารไทย จำกัด (มหาชน),107537000017,2016-12-31,569250300000,0,24546600000,737101200000,712554600000,786311300000,820171700000,37708700000,16530040000,2429709000,47434830000,8034598000,2.973671857405291,,3.5632812885647347,-3.2975089080022446,-3.517698575827244,-2.837456431634222,-2.1547223189534503,3.0848613664477442,-4.394433027970779,2.572211253139267,-0.8701142019665542,-12.513531953703783
135,บริษัท ธนาคารทหารไทย จำกัด (มหาชน),107537000017,2018-12-31,654022300000,0,75563670000,792909700000,717346000000,864168800000,888151500000,33184350000,15231050000,10960110000,43908280000,8817459000,14.891867426332484,,207.8376231331427,7.571348411859868,0.6724256639421,9.901612758204026,8.28848398451203,-11.998159575906886,-7.858359689389738,351.0873524360325,-7.4345159453507055,9.743623763130405
136,บริษัท ธนาคารทหารไทย จำกัด (มหาชน),107537000017,2019-12-31,647478700000,0,115557000000,854228200000,738671100000,850388300000,1045343000000,27989500000,13426540000,4529041000,36659790000,7099248000,-1.0005163432500686,,52.926664361326026,7.733352234182522,2.9727774323687672,-1.5946537296880003,17.698725949345363,-15.654517867609275,-11.847574527035231,-58.677047949336284,-16.50825311308026,-19.48646429770754
137,บริษัท ธนาคารทหารไทย จำกัด (มหาชน),107537000017,2020-12-31,915037600000,869724300000,132227700000,1001952000000,869724300000,1015485000000,1205404000000,41259790000,12836150000,14843030000,54323830000,12854570000,41.323197195521644,inf,14.426386977855078,17.293247869831507,17.741752723235017,19.41427228008663,15.311816312923131,47.411672234230686,-4.397186467995473,227.7300867887926,48.183691177718146,81.06945975122999
138,บมจ.บริษัท ธนาคารทหารไทยธนชาต จำกัด (มหาชน),107537000017,2021-12-31,1483342000000,1434371000000,112521100000,1546892000000,1434371000000,1696542000000,1754689000000,54825690000,16011310000,6907038000,63549310000,7768773000,62.10721832632888,64.92249325447158,-14.903533828388449,54.387834946185045,64.92249325447158,67.06716495073783,45.568539676324285,32.87922696649692,24.736077406387437,-53.466118440776576,16.98238139689341,-39.564116108123415
139,บริษัท ธนาคารทหารไทยธนชาต จำกัด (มหาชน),107537000017,2022-12-31,1511282000000,1490434000000,112179800000,1602614000000,1490434000000,1760742000000,1818511000000,61762450000,15505580000,4112322000,79222050000,14105770000,1.8835845004051555,3.908542490053124,-0.3033208882600724,3.6021907153181987,3.908542490053124,3.7841680312070025,3.637225741997585,12.652389782964878,-3.1585797789187797,-40.46185933825759,24.6623291425194,81.57011409652463
141,บมจ.กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2013-12-31,884799000,986902800,19053670000,27725370000,8671708000,3676165000,55032640000,10327920000,1756131000,4311593000,15243140000,3781629000,,,,,,,,,,,,
142,บมจ.กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2014-12-31,1051772000,927757600,27952020000,38549720000,10597700000,6374857000,66919300000,10774300000,1862515000,3540803000,15294150000,3269439000,18.871291671893854,-5.993011672476767,46.70150160047908,39.041318474739924,22.210065191309482,73.41052428277838,21.59929089354973,4.322070658951649,6.057862425980742,-17.877151206062358,0.33464233747115824,-13.544163110659458
143,บมจ.กรุงเทพดุสิตเวชการ จำกัด (มหาชน),107537000025,2015-12-31,1470058000,2439967000,27856890000,41606400000,13749510000,6545797000,70888690000,11721450000,3617144000,4607577000,17706250000,4452983000,39.769645892836095,162.99617486291677,-0.34033318522239675,7.92918859073426,29.740509733244004,2.68147191380137,5.931607174611808,8.790826318183086,94.2075097381766,30.128024631700768,15.771389714367912,36.200216612085434
